Title,CAS Number,Use(s),Date Listed,Type of Toxicity,Listing Mechanism
Sodium Nitrite,7632-00-0,"Component of heat-transfer salts; chemical in metal treatment & finishing operations; component of detinning solution & multipurpose greases; agent for recovery of tin from scrap; corrosion inhibitor; used for the production of nitroso and isonitroso compounds, diazotization reactions (especially for dyes), and the synthesis of pharmaceuticals and agricultural pesticides",,,
Sodium Saccharin,128-44-9,Sweetening agent,,,
Sodium tetraborate,1303-96-4,"Pesticide; manufacture of glass, enamels, & other ceramic products; soldering metals; preservative either alone or with other antiseptics against wood fungus; fireproofing fabrics & wood; corrosion inhibitor; bleaching agent for textile; ingredient of detergents and cosmetic products; oxidizer in tooth powder and tooth paste",,,
"Soots, tars, and mineral oils (untreated and mildly treated oils and used engine oils)",,,27-Feb-87,cancer,LC
Spirodiclofen,148477-71-8,,08-Oct-10,cancer,AB
Spironolactone,52-01-7,,01-May-97,cancer ,FR
Stanozolol,10418-03-8,,01-May-97,cancer ,FR
Sterigmatocystin,10048-13-2,"Produced by fungi in genus Aspergillus; found in water-damaged buildings, crusts of molded cheeses, moldy or low-quality food and animal feed",01-Apr-88,cancer,SQE
Streptomycin Sulfate,3810-74-0,,,,
Streptozotocin,18883-66-4,"Medicine (antibiotic, chemotherapeutic agent). Naturally produced by Streptomyces achromogenes",,,
Strong inorganic acid mists containing sulfuric acid,,,14-Mar-03,cancer ,AB
Strontium-90,10098-97-2,"Medicine (superficial radiotherapy), heat source, beacon, tracer in medical and agricultural studies, luminous signs, industrial guaging. Found in nuclear fuel waste, nuclear weapon fallout",,,
Styrene,100-42-5,"Precursor to polystyrene and several copolymers; production of plastic, synthetic rubber, insulation and protective coatings, construction materials, vehicle components, food containers; flavoring agent; component of automobile and tobacco smoke",22-Apr-16,cancer,AB
Styrene Oxide,96-09-3,"Reactive plasticizer or diluent for epoxy resins, treatment of fibers and textiles; production of phenethyl alcohol, styrene glycol and its derivatives; chemical intermediate in production of agricultural and biological chemicals, cosmetics and surface coatings",,,
Sulfallate,95-06-7,Pre-emergent selective agricultural herbicide. All products discontinued by the manufacturer in the early 1990s.,01-Jan-88,cancer,SQE
Sulfasalazine,599-79-1,,,,
Sulfates,,"Batteries, algaecide, mineral supplements, plaster, detergent and surfactant in personal care prodcts.",,,
Sulfur Dioxide,05-09-7446,"Product of combustion, including from oil refineries, power plants, and automobile exhaust. Occurs naturally in volcanic and biogenic emissions, and decay of biologic materials.",,,
Sulfuric Acid,7664-93-9,"Industrial and domestic cleaning agent; production of fertilizer, insecticide, detergents, synthetic resins, rayon, explosives, dyes, pharmaceuticals, and antifreeze; catalyst",,,
Sulfuryl fluoride,2699-79-8,structural fumigant,,,
Sulindac,38194-50-2,,29-Jan-99,"developmental, female ",FR
Sulprofos,35400-43-2,"Non-systemic insecticide with contacty and stomach action. Cholinesterase inhibitor. Used in the control of Lepidoptera, Thysanoptera, Heliothis spp., and other insects in cotton, soya beans, tobacco, vegetables, and tomatoes. /Former use/",,,
Talc containing asbestiform fibers,,,01-Apr-90,cancer,AB
Tamoxifen and its salts,10540-29-1,,01-Sep-96,cancer,SQE
Tamoxifen Citrate,54965-24-1,,,,
"3,3',4,4'-TCB",32598-13-3,"Used as dielectric fluids in transformers and capacitors. PCB manufacture in the US was discontinued in 1977, and importation banned in 1979.",,,
"3,4,4'5-TCB",70362-50-4,Byproduct of production of chlorinated organic chemicals,,,
Tebuthiuron,34014-18-1,Herbicide,,,
Temazepam,846-50-4,,01-Apr-90,developmental,FR
Teniposide,29767-20-2,,01-Sep-96,developmental,FR
Terbacil,5902-51-2,,18-May-99,developmental ,AB
Teriparatide,52232-67-4,"anabolic (i.e., bone growing) agent used in the treatment of some forms of osteoporosis",14-Aug-15,cancer,FR
Terrazole,2593-15-9,,01-Oct-94,cancer,AB
Tert-Amyl methyl ether,994-05-8,Used as an oxygenate for gasoline (added to increase octane enhancement and to raise the oxygen content in gasoline to help reduce emissions),,,
tert-Butylbenzene,98-06-6,"solvent, polymer linking agent",,,
Tertiary butyl alcohol,75-65-0,"Solvent, ethanol denaturant, paint remover ingredient, and gasoline octane booster and oxygenate. It is a chemical intermediate used to produce MTBE and ETBE by reaction with methanol and ethanol, and TBHP by reaction with hydrogen peroxide.",,,
Tertiary-Butyl Acetate,540-88-5,"Solvent used in the production of lacquers, enamels, inks, adhesives, thinners and industrial cleaners",,,
Testosterone and its esters,58-22-0,,01-Apr-88,cancer,SQE
Testosterone Cypionate,58-20-8,,,,
Testosterone Enanthate,315-37-7,,,,
Tetrabromobisphenol A,79-94-7,"Tetrabromobisphenol A is widely used as a reactive flame retardant to produce a bromine-containing epoxy resin and polycarbonate, and as intermediates for the synthesis of other complex flame retardant, also as an additive flame retardant for ABS, HIPS, unsaturated polyester rigid polyurethane foams, adhesives and coatings.",27-Oct-17,cancer,LC
"3,3',4,4'-Tetrachloroazobenzene",14047-09-7,,24-Jul-12,cancer,AB
"2,3,7,8-Tetrachlorodibenzo-p-dioxin and related compounds",1746-01-6,"Byproduct of manufacture of chlorophenols, hexachlorophene, and herbicides; contaminant of the Agent Orange, PCBs, and pentachlorophenol; component of combustion, including waste incineration and tobacco smoke.",,,
"2,3,7,8-Tetrachlorodibenzofuran",51207-31-9,"Found in smoke emissions, byproduct of chemical synthesis",,,
"1,1,1,2-Tetrachloroethane",630-20-6,Solvent; production of wood stains and varnishes,13-Sep-13,cancer,LC
"1,1,2,2-Tetrachloroethane",79-34-5,"Solvent, degreaser, refrigerant, extractant; ingredient in paints and pesticides. In the US, presently used only as chemical intermediate in chemical synthesis.",01-Jul-90,cancer,AB
Tetrachloroethylene,127-18-4,"Solvent for organic materials used in dry-cleaning, textile processing, and vapor-degreasing; chemical intermediate. Formerly used in medicine as a hookworm vermifuge.",,,
"p-a,a,a-Tetrachlorotoluene",5216-25-1,,01-Jan-90,cancer,AB
Tetrachlorvinphos,22248-79-9,Organophosphate pesticide.,20-May-16,cancer,LC
Tetraconazole,112281-77-3,"Triazole fungicide used to control leafspot and powdery mildew on grapes, strawberries, and sugar beets., 	 ",,,
Tetracycline,60-54-8,,,,
Tetracycline Hydrochloride,64-75-5,,,,
Tetracyclines,,,,,
Tetraethyl Lead,78-00-2,,,,
Tetrafluoroethylene,116-14-3,,01-May-97,cancer,AB
Tetramethyldiaminodiphenylmethane,101-61-1,Chemical intermediate in production of dye; analytical reagent,,,
Tetranitromethane,509-14-8,Oxidizing agent in rocket propellants; explosive; diesel fuel additive (increases cetane); reagent that detects double bonds in organic compounds,01-Jul-90,cancer,AB
Thalidomide,50-35-1,,01-Jul-87,developmental,SQE
Thallium,7440-28-0,"Manufacture of electronic devices, semiconductors, special glass; medicine (cardiac imaging). Formerly used as rat and ant poison; this use has been banned in the US since 1972. Not produced in the US since 1984.",,,
Thiabendazole,148-79-8,Pesticide; Fungicide,,,
Thioacetamide,62-55-5,"Replaces hydrogen sulfide in qualitative analysis. Has been used as a solvent, vulcanization accelerator, and motor fuel stabilizer, but there is no evidence that it is currently used for these purposes.",01-Jan-88,cancer,SQE
Thiobencarb,28249-77-6,Herbicide,,,
"4,4'-Thiodianiline",139-65-1,"Chemical intermediate in the production of three dyes: CI mordant yellow 16, milling red G, and milling red FR.",01-Apr-88,cancer,SQE
Thiodicarb,59669-26-0,,20-Aug-99,cancer ,AB
Thioguanine,154-42-7,,01-Jul-90,developmental,FR
Thiophanate Methyl,23564-05-8,"Agricultural and ornamental fungicide, anthelmintic",,,
Thiouracil,141-90-2,,11-Jun-04,cancer , 
Thiourea,62-56-6,"Production of thiourea dioxide, leaching of gold and silver ores, copper refining, dyes; component in diazo paper and animal hide glue; catalyst in synthesis of fumaric acid; synthesis of pharmaceuticals and pesticides; photographic toning agent",01-Jan-88,cancer,SQE
Thorium Dioxide,1314-20-1,,,,
"Titanium dioxide (airborne, unbound particles of respirable size)",,,02-Sep-11,cancer,LC
Tobacco Smoke,,,,,
Tobacco Smoke (Primary),,,,,
"Tobacco, oral use of smokeless products",,,01-Apr-88,cancer,SQE
Tobramycin Sulfate,49842-07-1,,,,
Toluene,108-88-3,"Solvent, jet fuel component and gasoline additive, cement for polystyrene kits; production of polymers; chemical intermediate (benzene dealkylation); component of car exhaust and tobacco smoke",01-Jan-91,developmental,SQE
Toluene Diisocyanates,26471-62-5,"Chemical intermediate in production of flexible polyurethane foam, coatings, elastomers, sealants, adhesives used in packaging, insulation, upholstery, shoe soles, and other items",,,
"Toluene Diisocyanates (2,4 and 2, 6)",584-84-9; 91-08-7,"Manufacture of flexible polyurethane foam, elastomers, wood finishes, lacquers, foam-coated fabrics, and insulation materials. Often available as a mixture of the two isomers, though 2,4-TDI is produced in its pure state.",,,
o-Toluidine,95-53-4,"Production of dyes, vulcanization accelerator, organic synthesis; photographic dye; reagent in clinical assay for glucose and hemoglobin; component of tobacco smoke",01-Jan-88,cancer,SQE
p-Toluidine,106-49-0,"Chemical intermediate in the production of dyestuff, pesticides, and pharmaceuticals; Also used for preparation of ion exchange resins",,,
o-Toluidine Hydrochloride,636-21-5,"Intermediate in the manufacture of azo pigment, triarylmethane, sulfur, and indigoid compounds",,,
Topiramate,97240-79-4,Anticonvulsant drug used to treat seizures and to prevent migraine headaches. Also used in combination with phentermine for weight loss.,27-Nov-15,developmental,FR
Toxaphene,8001-35-2,"Insecticide, veterinary medicine (acaricide). All uses banned in the US in 1990.",,,
Toxins derived from Fusarium moniliforme (Fusarium verticillioides),,,07-Aug-09,cancer ,LC
Tralomethrin,66841-25-6,insecticide,,,
trans-2[(Dimethylamino)-methylimino]-5-[2-(5-nitro-2-furyl)-vinyl]-1-3-4-oxadiazole,55738-54-0,Pesticide,,,
Treosulfan,299-75-2,,27-Feb-87,cancer,LC
Triadimefon,43121-43-3,,30-Mar-99,"developmental, female, male ",AB
Triamterene,396-01-0,,18-Apr-14,cancer,LC
Triazolam,28911-01-5,,01-Apr-90,developmental,FR
"S,S,S-Tributyl Phosphorotrithioate",78-48-8,,,,
Tributyltin Methacrylate,2155-70-6,,,,
Trichlormethine,817-09-4,,,,
Trichloroacetic Acid,76-03-9,,,,
"1,2,4-Trichlorobenzene",120-82-1,"Industrial solvent, dye carrier, degreasing agent; chemical intermediate in chemical production, component of dielectric fluids",,,
"1,1,1-Trichloroethane",71-55-6,"Solvent, degreaser. Manufacture for domestic use banned in US since 2002.",,,
"1,1,2-Trichloroethane",79-00-5,Intermediate in chemical synthesis; solvent,,,
Trichloroethylene,79-01-6,"Metal degreasing, extraction solvent, cleaning kerosene-fueled rocket engines; production of refrigerants; component of tobacco smoke. Formerly used in medicine (inhaled analgesic), film cleaning, dry-cleaning solvent, and fumigant.",01-Apr-88,cancer,SQE
Trichloroethylene,79-01-6,"Metal degreasing, extraction solvent, cleaning kerosene-fueled rocket engines; production of refrigerants; component of tobacco smoke. Formerly used in medicine (inhaled analgesic), film cleaning, dry-cleaning solvent, and fumigant.",31-Jan-14,"developmental, male",AB
Trichlorofluoromethane (Freon 11),75-69-4,"Refrigerant, aerosol propellant, pesticide, and in production of foam. Production in US ended 1996, but use of existing stock is permitted.",,,
"2,4,6-Trichlorophenol",88-06-2,"Fungicide, herbicide, defoliant",01-Jan-88,cancer,SQE
"2,4,5-Trichlorophenoxyacetic acid",93-76-5,Herbicide,,,
"1,2,3-Trichloropropane",96-18-4,Intermediate in chemical synthesis; industrial solvent and degreasing agent,01-Oct-92,cancer,AB
trichlorotrifluoroethane (Freon 113),76-13-1,"Cooling agent, cleansing agent for metal and electrical components, aerosol propellant, blowing agent for foam production, solvent",,,
Trientine Hydrochloride,38260-01-4,,,,
Triethylamine,121-44-8,"Organic chemical synthesis, rubber accelerator activator, corrosion inhibitor, propellant, seawater desalination; production of urethane foams and epoxy resins, pharmaceuticals, pesticides; component of tobacco smoke",,,
Triforine,26644-46-2,,18-Jun-99,developmental ,AB
"1,3,5-triglycidyl-s-triazinetrione",2451-62-9,,,,
Trilostane,13647-35-3,,01-Apr-90,developmental,FR
TRIM VX,,Soluble oil; metalworking fluid,,,
Trimethadione,127-48-0,,01-Jan-91,developmental,FR
Trimethyl Phosphate,512-56-1,"Industrial catalyst, desensitizing agent for peroxides, ethylating agent, plasticizer, color inhibitor for fibers and other polymers, solvent for aromatic halogenations and nitrations, flame retardant, anti-foaming agent; stabilizer in pesticides",,,
"2,4,5-Trimethylaniline and its strong acid salts",,,24-Oct-97,cancer ,SQE
"1,2,4-Trimethylbenzene",95-63-6,"Occurs naturally in coal tar and petroleum.  Used as a sterilizing agent and in the manufacture of dyes, perfumes, and resins.  Gasoline additive",,,
"1,3,5-Trimethylbenzene",108-67-8,"Solvents, paint thinners, auto fuel, dyes, wood stain",,,
Trimetrexate Glucuronate,82952-64-5,,,,
"2,4,6-Trinitrotoluene",118-96-7,Explosive- military and industrial applications,,,
Triphenyltin Hydroxide,76-87-9,,,,
"Tris(1,3-dichloro-2-propyl) Phosphate (TDCPP)",13674-87-8,Flame retardant in polyurethane foams,,,
Tris(1-aziridinyl)phosphine Sulfide,52-24-4,"Medicine (antineoplastic), insect sterilant",,,
Tris(2-3-dibromopropyl)phosphate,126-72-7,Added to polymers; formerly used as a flame retardant in textiles,,,
Tris(2-chloroethyl) Phosphate,115-96-8,,,,
Tris(aziridinyl)-p-benzoquinone (Triaziquone),68-76-8,,,,
Tritium,10028-17-8,"Electronic devices with tritium gas, self-luminescent devices (used instead of radium), research chemical (water transport tracer); component of thermonuclear weapons",,,
Trp-P-1 (Tryptophan-P-1),62450-06-0,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,01-Apr-88,cancer,SQE
Trp-P-2 (Tryptophan-P-2),62450-07-1,Found in cooked food as byproduct of browning reaction; component of tobacco smoke,01-Apr-88,cancer,SQE
Trypan Blue (Commercial Grade),72-57-1,,,,
Unleaded Gasoline (Wholly Vaporized),,,,,
Uracil Mustard,66-75-1,,,,
Uranium,7440-61-1,"Nuclear power fuel; armor-piercing ammunition; x-ray targets; radiation shielding material; counterbalance weights; nuclear weapons. Naturally-occurring uranium is often present in phosphate fertilizers. Formerly used in glass and ceramic glazes, until 1973.",,,
Urethane,51-79-6,"Production of pesticide and fungicide, chemical intermediate (pharmaceuticals); component of tobacco smoke. Former use in medicine (antineoplastic)",,,
Urofollitropin,97048-13-0,,01-Apr-90,developmental,FR
Valproate,99-66-1,,,,
Vanadium and compounds,7440-62-2,,,,
Vanadium Pentoxide,1314-62-1,Production of ferrovanadium alloy; corrosion inhibitor; ceramic and glass coloring; catalyst for sulfuric acid and other oxidated chemicals,,,
Verapamil,52-53-9,Calcium channel blocker that is a class IV anti-arrhythmia agent; Also an inhibitor of the drug efflux pump P-glycoprotein which is overexpressed in some multi-drug resistant tumors and may improve the efficacy of some antineoplastic agents,,,
Vinblastine Sulfate,143-67-9,,,,
Vinclozolin,50471-44-8,,15-May-98,developmental ,AB
Vincristine Sulfate,2068-78-2,,,,
Vinyl Acetate,108-05-4,"Precursor to polyvinyl acetate (polymer) and polyvinyl alcohol; chemical synthesis, production of resins, adhesives, paints, coatings, safety glass, packaging, acrylic fibers; component of tobacco smoke",,,
Vinyl Bromide,593-60-2,,,,
Vinyl chloride,75-01-4,"Chemical intermediate in the production of PVC, automobile upholstery, housewares, and automotive parts; component of tobacco smoke. Formerly used as aerosol spray propellant until 1974, as a refrigerant, and briefly as an inhalational anaesthetic.",27-Feb-87,cancer,LC
Vinyl Cyclohexenedioxide,106-87-6,,,,
Vinyl Fluoride,75-02-5,,,,
4-Vinylcyclohexene,100-40-3,"Manufacture of polyolefins and other chemicals; solvent; chemical intermediate in production of flame retardants, flavors, and fragrances; byproduct of processes involving 1,3-butadiene",01-May-96,cancer,AB
Vismodegib,879085-55-9,,27-Jan-17,"developmental, female, male",FR
Warfarin,81-81-2,,01-Jul-87,developmental,SQE
Wood Dust,,,,,
m-Xylene,108-38-3,"Major chemical use of meta-xylene is in the manufacture of isophthalic acid, which is used as a copolymerizing monomer to alter the properties of polyethylene terephthalate (PET)",,,
o-Xylene,95-47-6,"Used in the production of phthalic anhydride, and is generally extracted by distillation from a mixed xylene stream in a plant primarily designed for p-xylene production.",,,
p-Xylene,106-42-3,,,,
"Xylenes (technical mixture of m, o, p-isomers)",1330-20-7,"Solvent for paints, varnishes, inks, dyes, adhesives, pharmaceuticals, detergents, and rubber; production of polymer fiber (mylar and dacron); component of gasoline and fuel oils; component of tobacco smoke (m-,p-)",,,
"2,6-Xylidine",87-62-7,"Synthesis of drugs, and crop protection fungicides and herbicides",,,
Zalcitabine,7481-89-2,,07-Aug-09,cancer ,LC
Zearalenone,17924-92-4,Chemical intermediate for zeranol & its 7-hydroxy epimer; veterinary anabolic agent,,,
Zidovudine,30516-87-1,,,,
Zileuton,111406-87-2,,,,
Zinc,7440-66-6,,,,
Zineb,12122-67-7,Pesticide; fungicide,,,
"A-alpha-C (2-Amino-9H-pyrido[2,3-b]indole)",,,01-Jan-90,cancer,AB
Acetazolamide   ,,,20-Aug-99,developmental  ,FR
Acetohydroxamic acid,,,01-Apr-90,developmental,FR
Acifluorfen sodium,,,01-Jan-90,cancer,AB
"Actinomycin D [Basis for listing changed effective February 22, 2013]",,,01-Oct-89,cancer,FR
AF-2;[2-(2-furyl)-3-(5-nitro-2-furyl)]acrylamide,,,01-Jul-87,cancer,SQE
"Alcoholic beverages, when associated with alcohol abuse",,,01-Jul-88,cancer,SQE
All-trans retinoic acid,,,01-Jan-89,developmental ,SQE
"Allyl chloride  Delisted October 29, 1999 [Click here for the basis for delisting]",,,01-Jan-90,cancer,AB
Amantadine hydrochloride,,,27-Feb-01,developmental ,FR
Amikacin sulfate,,,01-Jul-90,developmental,FR
4-Aminobiphenyl (4-aminodiphenyl),,,27-Feb-87,cancer,LC
2-Amino-4-chlorophenol,,,13-Sep-19,cancer,LC
3-Amino-9-ethylcarbazole hydrochloride,,,01-Jul-89,cancer,SQE
"2-Amino-5-(5-nitro-2-furyl)-1,3,4-thiadiazole",,,01-Jul-87,cancer,SQE
Amiodarone hydrochloride,,,26-Aug-97,"developmental, female, male ",FR
"tert-Amyl methyl ether  Delisted December 13, 2013 [Click here for the basis for delisting]",,,18-Dec-09,developmental ,LC
Anabolic steroids,,,01-Apr-90,"female, male",FR
Angiotensin converting enzyme  (ACE) inhibitors,,,01-Oct-92,developmental,FR
Aniline hydrochloride,,,15-May-98,cancer ,AB
o-Anisidine hydrochloride,,,01-Jul-87,cancer,SQE
Antimony oxide (Antimony trioxide),,,01-Oct-90,cancer,AB
Areca nut,,,03-Feb-06,cancer ,LC
Aristolochic acids,,,09-Jul-04,cancer ,LC
Arsenic (inorganic arsenic compounds),,,27-Feb-87,cancer,LC
Arsenic (inorganic oxides),,,01-May-97,developmental,SQE
"Aspirin (NOTE:  It is especially  important not to use aspirin during the last three months of pregnancy,  unless specifically directed to do so by a physician because it may cause  problems in the unborn child or  complications during delivery.)",,,01-Jul-90,"developmental, female",SQE
Beclomethasone dipropionate,,,15-May-98,developmental ,FR
Benz[a]anthracene,,,01-Jul-87,cancer,SQE
Benzidine [and its salts],,,27-Feb-87,cancer,LC
Benzidine-based dyes,,,01-Oct-92,cancer,FR
Benzphetamine hydrochloride,,,01-Apr-90,developmental,FR
Benzyl chloride,,,01-Jan-90,cancer,AB
Benzyl violet 4B,,,01-Jul-87,cancer,SQE
Beryllium and beryllium compounds,,,01-Oct-87,cancer,SQE
   Beryllium ,,,,,
   Beryllium oxide,,,,,
   Beryllium sulfate,,,,,
Bis(2-chloroethyl)ether,,,01-Apr-88,cancer,SQE
"N,N-Bis(2-chloroethyl)-2-naphthylamine  (Chlornapazine)",,,27-Feb-87,cancer,LC
Bischloroethyl nitrosourea (BCNU) (Carmustine),,,01-Jul-87,cancer,SQE
Bischloroethyl nitrosourea (BCNU) (Carmustine),,,01-Jul-90,developmental,FR
Bis(chloromethyl)ether,,,27-Feb-87,cancer,LC
"Bis(2-chloro-1-methylethyl)ether,  technical grade",,,29-Oct-99,cancer ,SQE
Bisphenol A (BPA),,,11-May-15,female,SQE
"Bisphenol A (BPA)  Delisted April 19, 2013 [Click here for the basis for delisting]",,,11-Apr-13,developmental,AB
Bracken fern,,,01-Jan-90,cancer,AB
Bromacil lithium salt,,,18-May-99,developmental ,AB
Bromacil lithium salt,,,17-Jan-03,male ,SQE
Bromochloroacetic acid,,,06-Apr-10,cancer ,AB
1-Bromopropane (1-BP),,,05-Aug-16,cancer,AB
1-Bromopropane (1-BP),,,07-Dec-04,"developmental, female, male ",AB
2-Bromopropane (2-BP),,,31-May-05,"female, male ",AB
Bromoxynil octanoate,,,18-May-99,developmental ,AB
Butabarbital sodium,,,01-Oct-92,developmental,FR
"1,4-Butanediol dimethanesulfonate (Busulfan)",,,27-Feb-87,cancer,LC
"1,4-Butanediol dimethanesulfonate (Busulfan)",,,01-Jan-89,developmental,SQE
Butylated hydroxyanisole,,,01-Jan-90,cancer,AB
Butyl benzyl phthalate (BBP)d,,,02-Dec-05,developmental ,AB
"n-Butyl glycidyl ether Delisted April 4, 2014 [Click here for the basis for delisting]",,,07-Aug-09,male ,LC
Cacodylic acid,,,01-May-96,cancer,AB
Cadmium and cadmium compounds,,,01-Oct-87,cancer,SQE
Caffeic acid,,,01-Oct-94,cancer,AB
"Carbaryl [Basis for listing changed effective December 27, 2013]",,,07-Aug-09,"developmental, female, male",AB
Carbon-black extracts,,,01-Jan-90,cancer,AB
Carbon disulfide,,,01-Jul-89,"developmental, female, male",SQE
Carbon monoxide,,,01-Jul-89,developmental,SQE
Carbon tetrachloride,,,01-Oct-87,cancer,SQE
N-Carboxymethyl-N-nitrosourea,,,25-Jan-02,cancer,SQE
Chloral hydrate,,,13-Sep-13,cancer,LC
"Chloramphenicol Delisted January 4, 2013 [Click here for the basis for delisting]",,,01-Oct-89,cancer,LC
Chloramphenicol sodium succinate,,,27-Sep-13,cancer,FR
Chlorcyclizine hydrochloride,,,01-Jul-87,developmental,FR
Chlordecone (Kepone),,,01-Jan-88,cancer,SQE
Chlordecone (Kepone),,,01-Jan-89,developmental,SQE
Chlordiazepoxide hydrochloride,,,01-Jan-92,developmental,FR
Chlorendic acid,,,01-Jul-89,cancer,SQE
"Chlorinated paraffins (Average chain length, C12;approximately 60 percent chlorine by weight)",,,01-Jul-89,cancer,SQE
p-Chloroaniline hydrochloride,,,15-May-98,cancer ,AB
"Chlorodibromomethane  Delisted October 29, 1999 [Click here for the basis for delisting]",,,01-Jan-90,cancer,AB
Chloroethane (Ethyl chloride),,,01-Jul-90,cancer,AB
1-(2-Chloroethyl)-3-(4-methylcyclohexyl)-1-nitrosourea (Methyl-CCNU),,,01-Oct-88,cancer,SQE
"Chloroform [Basis for listing changed effective December 23, 2016]",,,07-Aug-09,developmental ,SQE
Chloromethyl methyl ether (technical grade),,,27-Feb-87,cancer,LC
2-Chloronitrobenzene,,,13-Sep-19,cancer,LC
4-Chloro-o-phenylenediamine,,,01-Jan-88,cancer,SQE
"2-Chloropropionic acid [Basis for listing changed effective December 20, 2013]",,,07-Aug-09,male ,SQE
"   p-Chloro-o-toluidine, hydrochloride",,,,,
"p-chloro-?,?,?-trifluorotoluene (para-Chlorobenzotrifluoride, PCBTF)",,,28-Jun-19,cancer,AB
"Chlorsulfuron Delisted June 6, 2014 [Click here for the basis for delisting] ",,,14-May-99,"developmental, female, male ",AB
Chromium (hexavalent compounds),,,27-Feb-87,cancer,LC
Chromium (hexavalent compounds),,,19-Dec-08,"developmental, female, male ",SQE
C.I. Basic Red 9 monohydrochloride,,,01-Jul-89,cancer,SQE
Ciclosporin (Cyclosporin A; Cyclosporine),,,01-Jan-92,cancer,AB
Cinnamyl anthranilate,,,01-Jul-89,cancer,SQE
Clobetasol propionate,,,15-May-98,"developmental, female ",FR
Clomiphene citrate,,,24-May-13,cancer,FR
Clomiphene citrate,,,01-Apr-90,developmental,FR
Clorazepate dipotassium,,,01-Oct-92,developmental,FR
CMNP (pyrazachlor),,,25-Aug-15,cancer,AB
Cobalt metal powder,,,01-Jul-92,cancer,AB
Cobalt [II] oxide,,,01-Jul-92,cancer,AB
Cobalt sulfate,,,20-May-05,cancer ,LC
Cobalt sulfate heptahydrate,,,02-Jun-00,cancer ,AB
Codeine phosphate,,,15-May-98,developmental ,FR
Coke oven emissions,,,27-Feb-87,cancer,LC
Conjugated estrogens,,,27-Feb-87,cancer,LC
Conjugated estrogens,,,01-Apr-90,developmental,FR
"Cyclohexanol  Delisted January 25, 2002 [Click here for the basis for delisting]",,,06-Nov-98,male ,AB
Cyclophosphamide (anhydrous),,,27-Feb-87,cancer,LC
Cyclophosphamide (anhydrous),,,01-Jan-89,"developmental, female, male","SQE - developmental    FR - female, male "
Cyclophosphamide (hydrated),,,27-Feb-87,cancer,LC
Cyclophosphamide (hydrated),,,01-Jan-89,"developmental, female, male","SQE - developmental     FR - female, male "
"Dantron (Chrysazin; 1,8-Dihydroxyanthraquinone)",,,01-Jan-92,cancer,AB
Daunorubicin hydrochloride ,,,01-Jul-90,developmental,FR
"2,4-D butyric acid [Click here for the basis for the removal of developmental endpoint, effective June 22, 2001]",,,18-Jun-99,"developmental, male   ",AB
DDD (Dichlorodiphenyl-dichloroethane),,,01-Jan-89,cancer,SQE
DDE (Dichlorodiphenyl-dichloroethylene),,,01-Jan-89,cancer,SQE
DDT (Dichlorodiphenyl-trichloroethane),,,01-Oct-87,cancer,SQE
"p,p'-DDT",,,15-May-98,"developmental, female, male ",AB
DDVP (Dichlorvos),,,01-Jan-89,cancer,SQE
Demeclocycline hydrochloride (internal use),,,01-Jan-92,developmental,FR
Des-ethyl atrazine (DEA),,,15-Jul-16,"developmental, female",AB
Des-isopropyl atrazine (DIA),,,15-Jul-16,"developmental, female",AB
"2,4-Diaminoanisole sulfate",,,01-Jan-88,cancer,SQE
"2,4-Diamino-6-chloro-s-triazine (DACT)",,,15-Jul-16,"developmental, female",AB
"4,4'-Diaminodiphenyl ether (4,4'-Oxydianiline)",,,01-Jan-88,cancer,SQE
"Diaminotoluene (mixed) Delisted November, 20 2015 [Click here for the basis for delisting]",,,01-Jan-90,cancer,AB
"7H-Dibenzo[c,g]carbazole",,,01-Jan-88,cancer,SQE
Dibromoacetic acid,,,17-Jun-08,cancer,AB
"1,2-Dibromo-3-chloropropane  (DBCP)",,,01-Jul-87,cancer,FR
"1,2-Dibromo-3-chloropropane  (DBCP) [Basis for listing changed effective November 22, 2013]",,,27-Feb-87,male,FR
Dichloroacetic acid,,,01-May-96,cancer,AB
Dichloroacetic acid,,,07-Aug-09,"developmental, male",AB
p-Dichlorobenzene,,,01-Jan-89,cancer,SQE
"3,3'-Dichlorobenzidine",,,01-Oct-87,cancer,SQE
"3,3'-Dichlorobenzidine dihydrochloride",,,15-May-98,cancer ,AB
"1,1-Dichloro-2,2-bis(p-chloropheny)ethylene (DDE)",,,30-Mar-10,"developmental, male ",AB
"3,3'-Dichloro-4,4'-diamino-diphenyl ether",,,01-Jan-88,cancer,SQE
Dichloromethane (Methylene chloride),,,01-Apr-88,cancer,SQE
"1,4-Dichloro-2-nitrobenzene",,,13-Sep-19,cancer,LC
"2,4-Dichloro-1-nitrobenzene",,,13-Sep-19,cancer,LC
"1,3-Dichloro-2-propanol (1,3-DCP)",,,08-Oct-10,cancer,SQE
Diclofop-methyl,,,06-Apr-10,cancer ,AB
Diclofop methyl,,,05-Mar-99,developmental ,AB                        
"Dienestrol Delisted January 4, 2013 [Click here for the basis for delisting]",,,01-Jan-90,cancer,LC
Diesel engine exhaust,,,01-Oct-90,cancer,AB
Di(2-ethylhexyl)phthalate (DEHP),,,01-Jan-88,cancer,SQE
Di(2-ethylhexyl)phthalate (DEHP),,,24-Oct-03,"developmental, male ",AB
   Adultb,,,,,
   Adultb,,,,,
